URL,News
https://tvl.ctvba.org.tw/news-detail/327,企業19年甲級男女排球聯賽，今(10)日壓軸場由凱撒飯店連鎖對上高雄台電，連續兩天的對決，高雄台電宰制宰力依舊，經過三局的對抗，高雄台電以3-0(25-10、25-15、25-14)笑納本周第二勝。首局高雄台電以黃瀞萱的二號位攻擊造成對手攔網出界拿下第一分。凱撒飯店連鎖許芳閩不甘示弱，後排進攻給予反擊。無奈高雄台電狀況火燙，多次四號位攻擊突破凱撒飯店連鎖的前排攔網，最終高雄台電黃瀞萱一記短球，助隊伍以25-10拿下第一局。第二局高雄台電延續手感，陳姿雅與劉玉淳左右開弓，帶給凱撒飯店連鎖連串威脅，10-1大幅領先。隨著比分差距變大，高雄台電越打越開，凱撒飯店連鎖無力招架，最終高雄台電以25-10取下第二局。第三局凱撒飯店連鎖試圖重振旗鼓，一路緊咬比數。可惜高雄台電仍以更全面的攻守表現主宰戰局，最終高雄台電以25-14輕鬆帶走比賽。
https://tvl.ctvba.org.tw/news-detail/326,企業19年甲級男女排球聯賽，地主屏東台電今(10)日出戰桃園臺灣產險。屏東台電今日狀況依舊火燙，多樣化的攻擊手段給桃園臺灣產險不小的的麻煩。最終屏東台電以3-0(25-18、25-23、25-16)無懸念的帶走比賽。首局雙方一路糾纏至10-10，屏東台電漸漸地找回狀態，進攻端多點開花，讓桃園臺灣產險難以應對。迅速的將分數拉開。最終屏東台電以25-18帶走第一局。第二局開始屏東台電靠著優異的團隊表現，打出6-1的漂亮開局。但桃園臺灣產險劉昱麟在攻守兩端皆有建樹，將分差縮小。於局中屏東台電抓準機會，隊長許紋誠的強力斜線攻擊，重新拉開分差，讓桃園臺灣產險喊出暫停。桃園臺灣產險雖然有試圖追分，可惜就差最後一口氣，最終屏東台電靠著黃正良的後排攻擊得手，以25-23有驚無險連下兩城。第三局開局雙方互換領先，戰況十分膠著。此時率先突破僵局的是屏東台電，黃正良在四號位的強攻與顏振富的快攻擴大領先優勢，慢慢的帶走比賽的節奏，最終屏東台電以25-16一波帶走比賽的勝利。
https://tvl.ctvba.org.tw/news-detail/325,企業19年甲級男女排球聯賽，今(10)日舉行屏東體育館最後一天的賽事，第一場由連莊對上彰化三大有線。連莊不受到昨日被斬斷連勝的影響，依舊打出高水準的表現，最終以3-0(25-20、25-21、25-20)取得本場比賽勝利。首局連莊透過銅牆鐵壁般的前排防守，多次的攔網成功拉出7-2的攻勢，逼得彰化三大有線喊出暫停。暫停過後，彰化三大有線調整進攻模式，陳恩得多次跳出得分，迅速將比數追平。然而連莊持續用防守帶動進攻，汪秉勳多次攔下對手四號位的攻擊，搭配自家攻擊手的多點開花，最終以25-20拿下第一局的勝利。第二局彰化三大有線展現勝利的決心，開局連拿三分展現勝利的決心。連莊無所畏懼，馬上將比分追平，之後兩隊陷入膠著，一路纏鬥至14-14。此時連莊吳宗軒和施琅在攻擊端接連跳出，防守端有呂姜耀凱扎實的攔網，攻守俱佳的表現將比分拉開，最終連莊以25-21取得聽牌。第三局彰化三大有線重新振作，於此局前半段維持小幅的領先。可惜連莊以較佳的團隊表現，以及深厚的板凳實力，再度逆轉分數。最後在施琅後排的進攻得手之後，以25-20拿下本場比賽勝利。
https://tvl.ctvba.org.tw/news-detail/324,企業19年甲級男女排球聯賽，今(9)日最後一場由高雄台電對上凱撒飯店連鎖，高雄台電全面性的表現，攻守兩端皆展現十足的宰制力，最終以3-0(25-18、25-12、25-16)成功擊敗凱撒飯店連鎖。首局高雄凱撒飯店連鎖率先出擊，簡翊雯的後排攻擊拉開比賽序幕。高雄台電的學姐們不甘示弱，進攻與防守皆有成熟的表現，陳姿雅一記斜線重扣，讓凱撒飯店連鎖喊出暫停。暫停過後凱撒飯店連鎖重新調整，透過許芳閔的攻擊緊咬比數。然而接近局末時，高雄台電迅速拉開比數， 最終靠著劉玉淳的攔網出界，以25-18帶走第一局。第二局開局彭?媃的單腳背飛拿下本局第一分，並且搭配劉玉淳的攻勢，拉出5-0的攻勢。凱撒飯店連鎖不甘示弱，許芳閔的一記重扣成功破蛋打出氣勢。高雄台電隨後穩定輸出，凱撒飯店連鎖難以招架強大火力，持續的將比分擴大，最終以25-12獲得勝利。第三局凱撒飯店連鎖重新振作，開局點點開花，展現拿下此局的企圖心，打出了9-3的攻勢。但高雄台電避免夜長夢多，全員上緊發條，全面的表現一路追趕並超前，儘管凱撒飯店連鎖韌性十足，多次完成漂亮防守，依然難以抵擋高雄台電的較強火力，最終高雄台電以25-16拿下第三局，以直落三獲得勝利。
https://tvl.ctvba.org.tw/news-detail/323,企業19年甲級男女排球聯賽，第七周首日第二場是，由地主屏東台電對決未嚐一敗的連莊，吸引大批觀眾進場觀戰，身為地主的屏東台電，展現全面性的發揮，以3-0(30-28、25-19、25-21)，送給連莊本季第一敗。開局屏東台電展現地主霸氣，針對連莊的主要攻擊點進行重點看防，收穫到不錯的成效，搭配上多點開花的攻擊，最高拉出七分的差距。但連莊馬上做出反應，不斷利用 呂姜耀凱的快攻化解對手的防守，並且靠著B.BAGUNAS於局末連拿五分力挽狂瀾，將比賽拉進deuce階段。最終屏東台電頂住壓力，抓準連莊的失誤，由黃正良拿下第一局的局末點，以30-28結束精彩的第一局。第二局屏東台電延續上一局的氣焰，開局便拉出了4-1的攻勢，並且靠著黃正良、許紋誠穩定的發揮，幫助屏東台電持續保有一定的領先。儘管連莊試圖追進比分，但前排的攔網始終無法有效阻止屏東台電的火力，且自己出現零星的失誤，最終屏東台電以25-19大分差的連下兩局。第三局屏東台電詹旻翰攜手狀況極佳的黃正良，讓屏東台電打出一波領先。王者連莊靠著B.BAGUNAS以及吳宗軒的左右開弓，緊咬著比數。兩隊一路糾纏到局末，屏東台電靠著林宜暉一記扎實的攔網擋下B.BAGUNAS的進攻，成為本局的分水嶺。最終屏東台電靠著詹旻翰多次進攻得手，以及連莊的再見失誤，以25-21拿下第三局，直落三讓連莊吞下本季第一敗。
https://tvl.ctvba.org.tw/news-detail/322,企業19年甲級男女排球聯賽第七周，再次於屏東體育館開打。首戰由桃園臺灣產險對上彰化三大有線，前兩局雙方勢均力敵，但桃園臺灣產險越打越火燙，最終以3-1(23-25、25-22、25-14、25-19)取得勝利。開局桃園臺灣產險高宇浩、李權紘表現突出，進攻防守皆有佳作，試圖將比分拉開。但彰化三大有線陳恩得、吳國強接續跳出，加上對手失誤多，不斷的將比數重新追平，一路纏鬥至20-20。最終彰化三大有線連拿四分，25-23取得第一局勝利。第二局開始，兩隊複製首局劇本，彰化三大有線頻頻追平比數，在賴建豪攔網得分後取得一分領先，讓桃園臺灣產險喊出暫停。暫停過後，桃園臺灣產險重新調整狀態，重新擴大領先分數，最終由劉昱麟連續兩次的攻擊得手，於第二局以25-22扳回一城。第三局彰化三大有線率先進入狀態，於開局拉出6-4的攻勢。但桃園臺灣產險來勢洶洶，延續上局氣勢，搭配隊長李尼西米以及劉昱麟出色表現，將本局一波帶走，25-14取得聽牌。第四局桃園臺灣產險從防守帶動進攻，甘茂宏、李權紘連續兩次的單人攔網將氣勢拉到最高點。彰化三大有線雖然有陳恩得的零星進攻，但難以招架對手火力全開的進攻，最終桃園臺灣產險靠著郭其昌一記直線進攻，以25-19收下本場比賽。
https://tvl.ctvba.org.tw/news-detail/321,企業19年甲級男女排球聯賽第六週例行賽於屏東體育館開戰，本週壓軸場賽事為女子組比賽，由新北中纖對上高雄台電，雙方展開五局大戰後，由新北中纖頂住壓力，以3-2（25-18、15-25、25-19、20-25、16-14）成功斷「電」，同時也拿下本季第三勝。本場比賽新北中纖派出兩名外援Bree、Yulia擔任先發出戰，Yulia率先在網前攻擊拿下第一分，隨後張稦豈也不斷在二號位攻擊得手，以5-1領先高雄台電。暫停過後新北中纖攻擊火力不減，本季生力軍張稦豈、李貝兒左右開攻，局末高雄台電快攻攻擊出界，新北中纖以25-18搶下第一局。高雄台電調整過後，第二局開局與新北中纖展開拉鋸戰，陳姿雅、彭?媃穩定輸出，此時新北中纖替換上舉球員謝靖瑩，可惜未能扭轉戰局，雖然局末高雄台電出現輪轉失誤，但最後由黃瀞萱攻擊突破李貝兒、Yulia雙人攔網，高雄台電以25-15扳回至平手。來到第三局，新北中纖強大的攻擊火力再度取得領先，雖然高雄台電不斷緊咬在後，並試圖縮小兩隊間的差距，但新北中纖不願輕易讓出勝利，Yulia的攔網與前排攻擊再度拉開比分，局末李貝兒發球直接得分，新北中纖以25-19率先聽牌。比賽進入第四局，高雄台電派出劉玉淳擔綱舉球，在攻擊手多點開花之下，一路以小比分領先。局間新北中纖將黃蔓亞、龔詩雯、童琦芳等人輪替上場，盼調整步調，可惜後半段高雄台電也換上火力十足的李姿瑩，局末點彭?媃四號位成功突破，高雄台電以25-20戰成平手。決勝局，Yulia過人的身高攔網助新北中纖取得6-3領先，高雄台電在陳姿雅的攻擊帶領下，持續緊咬在後，黃芯瑜一記背飛得手後，追平對手比分。此時新北中纖發生輪轉失誤，高雄台電繼續拉大比分差，但新北中纖不言棄，隊長童琦芳一上場立即建功，發球也給足對方接發球壓力，最後Yulia、陳亭汝雙人攔網，擋下陳姿雅的攻擊，新北中纖以16-14搶下勝利。本場比賽新北中纖副攻手張稦豈拿下全場最高20分，其餘先發攻擊手得分皆上雙，特別是來自烏克蘭的快攻Yulia，五局下來共有7次攔網得分，是本戰勝利的關鍵的一環。
https://tvl.ctvba.org.tw/news-detail/320,企業19年甲級男女排球聯賽第六週例行賽於屏東體育館開打，今（3）日第二場比賽由地主隊屏東台電迎戰雲林美津濃，以臺灣師大男排為班底的雲林美津濃，雖然企聯前先參加了五天的大專排球聯賽預賽，直到今日已經是第七戰，但仍在場上拼盡全力，最終以3-2（23-25、13-25、26-24、25-20、15-11）讓二追三逆轉屏東台電。身為地主的屏東台電開局火力全開，很快取得領先，局間雲林美津濃將張祐晨、温逸凱兩人輪替，攻擊節奏漸入佳境，再加上屏東台電陷入小亂流，雲林美津濃追至23-24一分差，可惜最後發球出界，屏東台電以25-23搶下第一局。第二局開始，屏東台電組織三人攔網，網前擋下雲林美津濃的攻擊，舉球員黃宇晨再發出一記ACE球，帶領屏東台電在開局取得領先。但雲林美津濃隨即憑藉著精準攔網，將比分扳至4-4平手。顏振富的發球輪中，屏東台電攻守兼備，打出一波5-0攻勢，再次擁有領先優勢。隨著陳裕仁的強勁發球，破壞雲林美津濃接發，屏東台電也不斷組織流暢攻勢，曾茂聰、許紋誠得分連連，最後顏振富快攻得手，以25-13取得聽牌。來到第三局，屏東台電派出陳裕仁擔任先發舉球員，搭配甘明修、曾茂聰、許紋誠接連重扣，雲林美津濃得分主力洪榮發、温逸凱、許美中也在本局展現強大火力，在屏東台電攻擊出界、持球犯規後，雙方來到15平。接下來兩隊展開最後的激烈拉鋸，互不相讓，直到deuce階段，洪榮發二號位突破攔網得分、許美中單人攔網擋下曾茂聰的攻擊，雲林美津濃以26-24追回一局。比賽進入第四局，雲林美津濃節奏穩定，戰術靈活運用，不僅強攻頻頻突破屏東台電攔網，出奇不意的快攻更是讓對手難以防備，雲林美津濃一路領先至局末，並以25-20將比賽帶入第五局。進入決勝局，洪榮發率先在四號位打出Touch Out得手，狀態極佳的雲林美津濃以4-1領先，讓屏東台電急喊暫停，在暫停過後，雲林美津濃仍有著火熱攔網手感，局末屏東台電發球出界，雲林美津濃以15-11讓二追三成功斷電！身為雲林美津濃陣中的學長級人物洪榮發，本場比賽攻下全隊最高的22分，賽後感嘆這是在臺灣師大的四年裡第一次打贏台電，加入企排多年，洪榮發對於自身的表現說道，「處理球要學會更多手段，因為對手平均身高高、攔網點高，要學著怎麼取得分。」值得一提的是，本場勝利是「臺灣師大男排」連續七天拿下的第七場勝利，不僅在大專場上戰無不克，來到企業聯賽中也拼盡全力打出漂亮逆轉勝！
https://tvl.ctvba.org.tw/news-detail/319,企業19年甲級男女排球聯賽第六週例行賽於屏東體育館登場，今（3）日首場比賽由臺北Conti對上彰化三大有線，雙方皆是以大學球員為班底的隊伍，週間剛結束五場大專排球聯賽預賽，緊接著來到屏東參加企業聯賽，直至今日已連續七天進行高強度的比賽，本場最後由臺北Conti以3-1（17-25、25-21、25-20、25-21）收下勝利。開局彰化三大有線莊庾翔在二號位Touch Out得分，臺北Conti隨即以精準的攔網回敬，彰化三大有線在舉球員馮品恒的穿針引線下，攻擊手多點開花，得分不斷進帳。主攻手吳國強強勁的跳發直接得分後，彰化三大有線以14-9領先，臺北Conti喊出暫停調整，可惜在暫停過後無法追上對手，最終彰化三大有線莊庾翔四號位攻擊突破臺北Conti攔網，以25-17拿下第一局。來到第二局，臺北Conti攔網持續發威，連續擋下彰化三大有線多變的攻擊，以10-8領先，此時彰化三大有線隊長莊子霖挺身而出，四號位攻擊有效突破，暫時止血。但臺北Conti火力集中，李元、周冠宇聯手狂轟，雖然彰化三大有線陣中吳國強、莊子霖同樣火力全開，但全隊發球出現較多失誤，得分難連續。雷諾在前排快攻掩護、調開攔網，打出時間差攻擊，臺北Conti來到本局局末點，最後彰化三大有線攻擊出界，臺北Conti以25-21扳回一城。追成平手的臺北Conti第三局氣勢如虹，很快在比賽中取得領先，彰化三大有線方面則出現較多攻擊失誤。臺北Conti王俊傑單人攔網得分後來到局末點，最後雷諾四號位吊球，成功以25-20率先聽牌。第四局開始，彰化三大有線陣中的「龍津雙槍」莊子霖、楊展睿攻擊火力集中，但臺北Conti攻擊、攔網狀態都不在話下，持續以小比分差領先，最後周冠宇二號位強攻得手，臺北Conti以25-21帶走比賽勝利。本場比賽臺北Conti先發主攻手李元、雷諾雙雙攻下21分，全隊共有17次攔網得分，成為扳倒彰化三大有線的關鍵。執行教練林顯丞表示，「前面連續五天打大專聯賽，球員的起伏還是有點大，像是第一局就很不穩定，但後面有調整回來，看得出球員們想要有好的表現，也辛苦他們！」談到今天攔網狀態相當好，林顯丞教練則笑稱是把前幾天沒攔到的球都在今天發揮了，「剛好對位到雷諾、小廖（廖閎昇），我們的攔網有給對方壓力，很開心今天看到這部分有做出來！」
https://tvl.ctvba.org.tw/news-detail/318,企業19年甲級男女排球聯賽第六週例行賽移師屏東體育館舉行，今（2）日壓軸場為女子組賽事，由凱撒飯店連鎖對上新北中纖，由於東山高中、中山工商女排前往廈門參加交流賽，凱撒飯店部分高中球員尚未歸隊，因此本場比賽僅有9名球員參戰。經過三局對抗，新北中纖以3-0（25-10、25-14、25-11）笑納比賽勝利！開局新北快攻戰術靈活運用，李貝兒、張稦豈、龔詩雯、黃蔓亞等人輪番上陣，一波波邊線長攻，突破凱撒飯店的攔防系統，讓新北中纖取得領先。凱撒飯店陣中幾名先發攻擊手缺陣，本場降低不少火力，難以對手抗衡，最終李貝兒攻擊得分來到局末點，黃蔓亞、李子嫣組織雙人攔網，新北中纖以25-10收下第一局。雖然少了幾名隊友並肩作戰，但凱撒飯店不輕易言棄，陳思妤連續發出兩顆ACE球，追至11平。隨後傷癒回歸的新北中纖外援主攻手Bree在四號位連續重扣得手，再度拉開比分差距。後半段凱撒飯店接連出現攻擊踩線、出界等失誤，謝靖瑩、Yulia網前擋下陳思妤的攻擊，新北中纖以25-14再拿一局。來到第三局，本局新北中纖派出謝靖瑩擔任先發舉球員，同時也替換上自由球員張芷瑄，兩名外援Bree、Yulia搭配李貝兒、黃蔓亞共組得分箭頭，開局迅速就以4-0領先凱撒飯店。雖然已取得領先，但新北中纖火力不減，局末換上隊長童琦芳發球，成功將新北中纖帶至賽末點，最後李貝兒四號位扣下最後一球，新北中纖以25-11直落三拿下勝利。
