text,球迷的聊天
哦哦原來 感謝解惑,1
打大專之後接企聯好累,1
又被…,1
2星期後才上場,1
人員登錄 兩週才可能隨隊了 xdd,1
蠻難的,1
也對,1
這球好水,1
Hot Pot你才高一噢,1
？,1
Hot Pot你不是說你是高中生,1
🥹,1
國一啦,1
排球少年害的,1
巨人崛起,1
Hot Pot自己沒打球嗎,1
呃 有社團 只是大家幾乎都很廢 只有少數人在打,1
國中有排球社哦 ,1
有的👍,1
真羨慕,1
我好像聽見同學被打臉的聲音 xddd,1
今天三場節奏都很快…,1
OOOOOOOOOO,1
請問今天是下半季開始嗎,1
是 下半季第一週,1
HotPot可以當國手喔,1
🤣,1
只是人員登錄 兩週後才有隨隊,1
感恩,1
QWQ被虐了,1
臺北開始要變超冷了,1
"對啊, 要拚一點, 輸也要有態度啊",1
明天10度以下,1
77,1
還好明天不是在臺北比賽,1
不錯喔,1
怎麼穿過去的,1
好痛!!!,1
感覺要連三了,1
新秀上陣,1
台北濕冷 騎車手是凍的,1
都打不出來,1
只有冬天南北天氣差很大，其他三個季節都沒什麼差別。,1
粉红泡泡,1
現在臺北12度,1
台南14度 體感8度,1
臺北還下雨。,1
真的 突然改雙手拋,1
準備開暖氣,1
大家快去拉拉山合歡山太平山,1
處理球感覺…,1
黑魔女2,1
哇,1
今天都滿虐的,1
表情很豐富ww,1
這甚麼香菇頭,1
覺得 好沒戰鬥力,1
臉...,1
😨,1
顏面崩壞球,1
"要休息一下, 不然還有腦震盪的問題",1
爆頭…怕,1
眼睛會不會有事阿???,1
😨😨,1
"這球竟然直接打到頭, 第一次看到",1
看起來超痛...,1
蠻常看到打到頭的 但這顆是正中眼睛,1
怕是有戴隱形眼鏡,1
洪的磅數感覺也不輕,1
棒,1
打到眼睛可能要檢查一下,1
哈 今天都爆頭日,1
out,1
照啦啦隊,1
澳,1
好眼力,1
終於!!!!!!,1
！！！,1
寶刀未老,1
9連勝嗎???,1
今天好早下班 3場都3:0,1
因為兼打大專盃所以太累嗎,1
天冷 讓球迷提早下班！,1
喔噢，對誒。,1
那你可以早點洗洗睡,1
逆風支持摩洛哥XD,1
快去買運彩,1
躺在被窩了 冷吱吱,1
我唯一感興趣的運動就只有排球😂,1
中運彩還沒辦法住豪宅吧,1
請問在那裡打,1
跨年,1
桃園市立綜合體育館,1
跨年在家看企排,1
我要去喝酒跨年,1
:elbowcough::elbowcough::elbowcough:,1
辛苦啦 明天見:yougotthis:,1
明天見,1
88,1
我高雄我驕傲,1
地主隊!!!!!!!!!!,1
有點尷尬的出場節奏,1
的確,1
😆,1
熱身都要變冷了,1
是啊～她們都很可愛🥰,1
經驗相對起來沒那麼豐富 但昨天有看到她們在盡力,1
後面還是有打起來,1
都是高中生和大一生 在企联是学习拿经验啦,1
對呀 我覺得還是要給她們鼓勵,1
🌲🌲🌲,1
Mega兄也是常常出沒阿,1
大專盃你有出現過嗎,1
女排週大多都有 男排週太忙只有晚上看,1
想說對你很熟悉,1
敢不敢來一場勢均力敵的,1
之前後援上場開無雙 後來就變多了 ,1
比較不常第一局就上吧,1
相比之下上一季更少,1
😅,1
看起來也更有自信,1
姐妹對決,1
生氣也正常,1
要啊我想看😎,1
jc volleyball its so bad🤣😂,1
這球水哦,1
🤣😂🤣😂 like sirkus🤣😂,1
地2局開始潰敗了,1
😂😂,1
氣氛,1
XD,1
比賽咧,1
High起來！,1
so poor jv go home n take sleep🤣😂,1
血流成河,1
對了 今年為甚麼沒明星賽😂,1
直落三跟上一場一樣,1
🤣😂🤣9-20_,1
下班,1
😭,1
比成這樣好悶,1
應該沒有,1
QQ,1
如果在東山高中或中山工商比就是主場了😂,1
場地聽起來很小😂,1
😂,1
🤗🤗🤗,1
妹妹們努力,1
下禮拜沒比賽？,1
好的 謝謝,1
🤣😂🤣😂,1
多給替補的信心是好事！,1
25-1🤑🤣😂,1
🤣😂🤣,1
只能去拿經驗,1
不知道為什麼 第1局過後整個都弱了,1
12:2可以提早下班了,1
提早下班吃火鍋當晚餐,1
不想看真的可以不用看,1
不想看就不要看啊 還在這裡幹嘛,1
想不想看不用妳說,1
快走不送,1
實力是有差 人家還沒有放棄你就在臭,1
我不能說提早下班嗎，無聊,1
慘,1
多半是在調動作,1
這樣就在臭，感覺你是不是沒被罵過,1
了解，謝謝～,1
這麼說你很常被罵嘍,1
感覺看比賽的都是小屁孩居多,1
獨木難支啊,1
最後是在打練習嗎,1
這是年紀的差別,1
每次比賽都是練習ㄉ一種啊,1
結束,1
88888,1
下班,1
無情下班,1
444,1
下班吃火鍋囉,1
期待新年後230能拿下一場,1
天氣冷早點休息,1
直接不演了無情下班,1
"因為肌肉強度隨年紀增加, 所以年紀大一點的會比年輕的磅數更大, 年輕的根本很難守",1
他們是在比賽，哪是在演戲,1
昨天就有曉珮,1
下班吃火鍋囉，肚子餓了,1
88的掰,1
應該是某一環節有問題,1
放眼未來才是真的。,1
可能是實戰經驗太少,1
這是整體排球發展規劃的問題。,1
很滿意,1
禦寒吧 桃園超冷欸,1
感覺穿插在各隊像實習幫助也許更大 自信心也是可以培養的,1
