,text,label
29777,太精采了,positive
5192,比男排還精采,positive
11870,笑死,negative
2879,續命成功,positive
9622,有彰師大的,positive
27145,單co真的沒辦法,negative
12523,收到，謝謝,positive
10439,Bia!!!!,positive
29940, 笑得满地打滚 才剛說完,positive
23747,真的默契培養起來,positive
24824,哈,positive
13827,好強,positive
5772,受傷了,negative
13201,跳的好高喔,positive
11101,世錦知道喔,positive
25662,昱承好鬼!,positive
5020,偷臭欸,negative
14061,吵死了別臭,negative
21528,最近也有進步,positive
9446,At least He loves Vollyeball!,positive
11110,爆頭,negative
18510,感覺好像....?,positive
7607,那個螢幕不平欸,negative
16804,慘了,negative
7092,愛了,positive
8271,完蛋 剛剛那一扭有點嚴重,negative
6141,飛天超人誒,positive
4800,氣亂了,negative
32352,原來字卡錯了,negative
21231,心臟要好大顆,positive
24652,反正失敗是他們自己虧阿,negative
7210,金髮女中間失掉好幾分太傷了,negative
29798,還以為今天會有小温 笑得满地打滚 ,positive
989,修超好!,positive
5124,配球啦,positive
4631,笑死,negative
22630,之前在V1打大分三好,positive
28420,佳昌去當男公關了,positive
3019, 笑得满地打滚  笑得满地打滚 ,positive
25450,大家都是希望台灣排球越來越好 拇指向上 ,positive
20620,受傷,negative
11661,high咖,positive
9530,:elbowcough::elbowcough::elbowcough:優良傳統,positive
16299,小交剛剛超好笑,positive
26089,左手優勢比較多一點 打點和位置選擇都比右手多！,positive
31597,谢谢解答,positive
28324,嚇死,negative
7068,笑成這樣,positive
18555,"是優惠票, ",positive
8738,太水了,negative
29767,我也這樣認為女排的身高最高!!!,positive
4265,又發失球了。。。,negative
19977,Bos轟掉我們巴西了 :)...,negative
2204,為何是惡男,negative
28873,太狠了三米線,negative
10790,昨天很順ㄟ,positive
15770,真心疼,negative
32549,116是鬼吧,negative
26397,今天沒打到第五局我不會滿意,negative
4523,黑眼圈好重 笑哭了 ,negative
10722,受傷,negative
28453,恨熊熊,negative
5681,臭,negative
18367,哇一分差,negative
18571,先讓西米唱一首歌！ 恳求的脸 ,positive
20245,well done,positive
6114,沒辦法，簡還有學業要忙 笑哭了 ,negative
17584,好嘴,positive
8965,太扯了,negative
12721,潔啦齁,positive
24935,好可愛,positive
15928,aw sayang.. anyways nice game lodi bawi lang.,positive
31566,這球衣和LOGO設計慘不忍睹，比我20年前小學的電腦作業還慘,negative
5343,這劇本誰寫的啊 太扯,negative
4551,講年齡真的是 不说 ,neutral
32041,氣色不錯,positive
8751,張佑晨今天不錯噢，蠻強的,positive
3481,煜淳守得很好欸,positive
25397,吐,negative
26129,這球太低,negative
16801,好壞,positive
2119, 笑哭了 ,negative
28115,可愛的海帶舞鯨寶寶 哈,positive
3707,有心發展，企業支持，自然就強壯了,positive
22091,臭豆腐的話，應該是新北深坑臭豆腐隊XD,negative
25466,@Pei Pei 谢谢,positive
14559,喬喬 喜笑颜开 ,positive
11530,應該是鼓勵,positive
21163,好國際我們的留言,positive
24478,好強喔,positive
32714,這個戰術真的有執行好,positive
14104,香,positive
29650,身高優勢,positive
30862,受傷,negative
19295,主要是良性競爭,positive
8288,快打！,positive
3683,拜維佳,positive
18335,強,positive
15759,都進步好多～～,positive
31452,好好笑 偷笑,positive
10019,已分享,positive
25706,要被3-0了嗎 吓死了 ,negative
15801,沒錯沒錯,positive
30474,好快,positive
9273,主審很資深了,positive
18282,沈受傷,negative
26553,大家一起講直接爆音 笑哭了 ,negative
6544,2號真的死不換呢已經被當成點來打了,negative
27805,習慣先讓,positive
4652,真的很愛讓一追三,positive
31138,這個訪問有點尷尬喔,negative
31662,傻眼,negative
27852,感覺是有喔,positive
30946,大力出奇蹟,positive
22455,這首好嗨,positive
24638, 笑得满地打滚 ,positive
26590,這個假動作有夠漂亮,positive
16676,自己看的舒服就好～,positive
25041,哇！！！,positive
8101,好像可以買,positive
