text,球員,教練,裁判,戰術,球隊
小温加油！美津濃加油🔥🔥,1,0,0,0,1
美津濃加油,0,0,0,0,1
⚡⚡⚡加油,0,0,0,0,1
美津濃加油❤,0,0,0,0,1
阿甘真的加了,1,0,0,0,0
⚡⚡☁☁💪💪💪,0,0,0,0,1
阿甘還沒上場,1,0,0,0,0
發哥害羞還真可愛,1,0,0,0,0
阿甘上去了嗎,1,0,0,0,0
美津濃加油,0,0,0,0,1
美津濃加油,0,0,0,0,1
主播剛才說甘應該要明年(2星期後)才會上場,1,0,1,0,0
攔網對決😂,0,0,0,1,0
嬸嬸好帥,1,0,0,0,0
甘在哪,1,0,0,0,0
甘明年（兩個禮拜後才會上,1,0,0,0,0
美津濃加油！,0,0,0,0,1
期待1/1太陽台電大戰,0,0,0,0,1
美津濃加油！,0,0,0,0,1
發哥啊~~~,1,0,0,0,0
發哥yyds,1,0,0,0,0
斷電有可能嗎,0,0,0,0,1
台電12是誰,0,0,0,0,1
宜暉⚡,1,0,0,0,1
想看斷電😂,0,0,0,0,1
陳裕仁 舉球員,1,0,0,1,0
12是陳裕仁,1,0,0,0,0
連莊都無法斷電了,1,0,0,0,1
打了好幾天大專，怎麼斷電,0,0,0,0,1
美津濃好球,0,0,0,0,1
睿恩今天會掉鞋鞋嗎(⁎⁍̴̛ᴗ⁍̴̛⁎),1,0,0,0,0
發哥！,1,0,0,0,0
發哥太鬼啦,1,0,0,0,0
美津農QWQ,0,0,0,0,1
戴儒謙又要上場救火,1,0,0,1,0
舉太低,0,0,0,1,0
⚡⚡⚡⚡,0,0,0,0,1
沛彰真的 台電的神,1,0,0,0,1
阿富！！！,1,0,0,0,0
嬸嬸ㄧ上 台電必贏ㄟ⚡,1,0,0,0,1
:face-red-heart-shape:,0,0,0,1,0
美津濃 🔥🔥,0,0,0,0,1
美津濃加油！,0,0,0,0,1
⚡⚡⚡,0,0,0,0,1
阿良讚啦,1,0,0,0,0
想問一下 宇晨前幾天發燒 今天是沒辦法上場嗎🥲,1,0,0,0,0
阿甘有隨隊嗎？,1,0,0,0,0
下半季居然沒換mikasa,1,0,0,0,0
阿甘今天的被點名率真高🤣,1,0,0,0,0
美津濃整個亂,0,0,0,0,1
好G 這個二傳,0,0,0,1,0
溫神態可愛,1,0,0,0,0
美中 發哥 🔥🔥🔥,1,0,0,0,0
溫神!!!,1,0,0,0,0
旻翰最近真的強,1,0,0,0,0
溫逸凱好帥,1,0,0,0,0
旻翰好暖,1,0,0,0,0
"美津濃雖然沒快攻, 但有美中, 阿發跟溫神理論上也不該差太多, 可惜去年的舉球員不打了",1,0,0,1,1
美津濃沒有快攻,0,0,0,1,1
快攻吃揭發,0,0,0,1,0
教練無奈,0,1,0,0,0
教練覺得冷,0,1,0,0,0
好愛take教練😅,0,1,0,0,0
換人標示錯了吧,0,0,0,1,0
美津濃欄中都太年輕攔網經驗不夠,0,0,0,1,1
宇晨呢?,1,0,0,0,0
美津濃加油！,0,0,0,0,1
教練得分,0,1,0,1,0
兩邊教練可愛,0,1,0,0,0
紋誠綜藝摔,1,0,0,0,0
許紋誠球亂拋🤣,1,0,0,0,0
祐晨好可愛❤,1,0,0,0,0
簡名均：企排賽4,1,0,0,0,0
⚡⚡⚡,0,0,0,0,1
阿良好球,1,0,0,0,0
美中:thanksdoc:,1,0,0,0,0
:eyes-purple-crying::eyes-purple-crying:,0,0,0,1,0
中纖居然被臺電3:0,0,0,0,0,1
为什么一直拍教练 🤣🤣,0,1,0,0,0
⚡,0,0,0,0,1
今天紹平教練表情很豐富🤣,0,1,0,0,0
原來主播很重要,0,0,1,0,0
鐵壁宜暉,1,0,0,0,0
沒有刺激 沒有講誰殺球發球,0,0,0,1,0
發哥來了,1,0,0,0,0
發哥發了,1,0,0,0,0
qq發哥,1,0,0,0,0
發哥保重,1,0,0,0,0
美中連兩好球,1,0,0,0,0
玠寶真的好可愛,1,0,0,0,0
:face-red-heart-shape::face-red-heart-shape:,0,0,0,1,0
美津濃加油！,0,0,0,0,1
教練第2分,0,1,0,0,0
教練也太,0,1,0,0,0
美津濃加油！！,0,0,0,0,1
鷹眼,0,0,1,0,0
小捷！！！,1,0,0,0,0
小捷上場,1,0,0,0,0
以前超喜歡莊 好久沒看到了,1,0,0,0,0
茂聰要到局末點才會發揮實力,1,0,0,1,0
朱禹丞好像沒看他上場過,1,0,0,0,0
小捷一上場就連拿2分結束比賽 讚,1,0,0,0,0
不是才剛輸太陽神,0,0,0,0,1
再見欄網,0,0,0,1,0
上次屏東場輸了一次太陽神,0,0,0,0,1
玠寶太可愛了😭😭 承包！,1,0,0,0,0
期待阿甘加入🤔🤔,1,0,0,0,0
對ㄟ，阿甘在台電名單,1,0,0,0,1
1/1對太陽神 期待:face-orange-biting-nails::face-orange-biting-nails:,0,0,0,1,1
好想去 可是都在中北部了:eyes-purple-crying:,0,0,0,1,0
台電加油:elbowcough:,0,0,0,0,1
感謝主播、講評老師、轉播團隊｡ 🙏,0,0,1,0,0
愛山林加油~,0,0,0,0,1
Yeah 我愛的主播,0,0,1,0,0
嘉蓉 😆,1,0,0,0,0
⚡⚡⚡加油!,0,0,0,0,1
⚡⚡🌲🌲💪💪,0,0,0,0,1
愛山林其實蠻努力的,0,0,0,0,1
我也很喜歡愛山林,0,0,0,0,1
阿敏啊啊啊,1,0,0,0,0
愛山林小將很棒🥰🥰🥰是學姊真的太強了,0,0,0,0,1
又是阿敏啊啊啊,1,0,0,0,0
⚡⚡🌲🌲💪💪,0,0,0,0,1
我覺得愛山林的教練也不錯，至少暫停都知道要講什麼，要提醒什麼,0,1,0,1,1
但看起來台電沒有很用力打下去,0,0,0,0,1
今天又是雙姿 阿敏 高高 這個台電太狠了 😆,1,0,0,0,1
愛山林加油,0,0,0,0,1
愛山林加油💪💪💪,0,0,0,0,1
感覺愛山林今天配合有比較好,0,0,0,0,1
⚡⚡🌲🌲💪💪,0,0,0,0,1
阿敏又開無雙了,1,0,0,0,0
佩佩豬加油,1,0,0,0,0
