index,text,球迷的聊天,label_1,score_1,label_2,score_2
0,哦哦原來 感謝解惑,1,positive,0.6714460849761963,positive,0.9999823570251464
1,打大專之後接企聯好累,1,,,negative,0.9981957077980042
2,又被,1,,,negative,0.9776251912117004
3,2星期後才上場,1,,,negative,0.9998738765716552
4,人員登錄 兩週才可能隨隊了 xdd,1,,,negative,0.9992285966873168
5,蠻難的,1,negative,0.8173900842666626,negative,0.9982320666313172
6,也對,1,positive,0.5797187685966492,positive,0.8338814377784729
7,這球好水,1,positive,0.7615293860435486,negative,0.997092604637146
8,Hot Pot你才高一噢,1,positive,0.5837448835372925,positive,0.9944359064102172
10,Hot Pot你不是說你是高中生,1,neutral,0.5006473064422607,positive,0.9968254566192628
11, 忍住泪水 ,1,,,positive,0.997565984725952
12,國一啦,1,positive,0.5779383778572083,positive,0.9999698400497437
13,排球少年害的,1,negative,0.5307593941688538,negative,0.9983718991279602
14,巨人崛起,1,positive,0.5997380614280701,positive,0.9996334314346312
15,Hot Pot自己沒打球嗎,1,,,positive,0.6121785044670105
16,呃 有社團 只是大家幾乎都很廢 只有少數人在打,1,negative,0.5677005052566528,positive,0.94416481256485
17,國中有排球社哦 ,1,positive,0.5915253162384033,positive,0.9986525177955629
18,有的 拇指向上 ,1,positive,0.532421886920929,negative,0.9998691082000732
19,真羨慕,1,positive,0.9577488303184508,negative,0.9984003901481628
20,我好像聽見同學被打臉的聲音 xddd,1,negative,0.5889384150505066,negative,0.999745547771454
21,今天三場節奏都很快,1,positive,0.8129653930664062,positive,0.9980918765068054
22,OOOOOOOOOO,1,positive,0.5614737868309021,positive,0.9852657914161682
23,請問今天是下半季開始嗎,1,,,positive,0.9998151659965516
24,是 下半季第一週,1,,,positive,0.8456700444221497
25,HotPot可以當國手喔,1,positive,0.7307140827178955,positive,0.9991758465766908
26, 笑得满地打滚 ,1,positive,0.8986129760742188,negative,0.9094823002815248
27,只是人員登錄 兩週後才有隨隊,1,,,positive,0.9969430565834044
28,感恩,1,positive,0.954841375350952,positive,0.9987006187438964
29,QWQ被虐了,1,negative,0.835304319858551,negative,0.9999252557754515
30,臺北開始要變超冷了,1,negative,0.7083820104598999,negative,0.9939403533935548
31,對啊 要拚一點 輸也要有態度啊,1,,,positive,0.8870474100112915
32,明天10度以下,1,,,negative,0.999744951725006
33,77,1,,,negative,0.9804953336715698
34,還好明天不是在臺北比賽,1,,,positive,0.9994681477546692
35,不錯喔,1,positive,0.9766634106636048,positive,0.9658156037330629
36,怎麼穿過去的,1,,,negative,0.9990586638450624
37,好痛,1,negative,0.6348811984062195,negative,0.9975806474685668
38,感覺要連三了,1,,,negative,0.965239405632019
39,新秀上陣,1,positive,0.7541243433952332,positive,0.9994914531707764
40,台北濕冷 騎車手是凍的,1,negative,0.6981625556945801,negative,0.999196231365204
41,都打不出來,1,,,negative,0.9998658895492554
42,只有冬天南北天氣差很大其他三個季節都沒什麼差別,1,,,positive,0.7654991745948792
43,粉红泡泡,1,,,positive,0.9997565150260924
44,現在臺北12度,1,,,positive,0.9706718325614928
45,台南14度 體感8度,1,positive,0.5203403234481812,negative,0.9980173110961914
46,臺北還下雨,1,,,positive,0.9184432625770568
47,真的 突然改雙手拋,1,,,negative,0.9993141889572144
48,準備開暖氣,1,positive,0.7425834536552429,negative,0.5995594263076782
49,大家快去拉拉山合歡山太平山,1,positive,0.6243228912353516,positive,0.9993770718574524
50,處理球感覺,1,positive,0.6304095983505249,positive,0.9456189870834352
51,黑魔女2,1,,,negative,0.9626576900482178
52,哇,1,positive,0.6949712634086609,negative,0.9889956712722778
53,今天都滿虐的,1,negative,0.7965991497039795,negative,0.9976980090141296
54,表情很豐富ww,1,positive,0.9468498826026917,positive,0.9999487400054932
55,這甚麼香菇頭,1,,,negative,0.999946117401123
56,覺得 好沒戰鬥力,1,positive,0.7969061136245728,negative,0.9994608759880066
57,臉,1,,,negative,0.8148427605628967
58, 害怕 ,1,negative,0.8952614665031433,negative,0.9886947274208068
59,顏面崩壞球,1,negative,0.7803615927696228,negative,0.9997780919075012
60,要休息一下 不然還有腦震盪的問題,1,,,negative,0.9988275170326232
61,爆頭怕,1,negative,0.844732940196991,negative,0.9920324087142944
62,眼睛會不會有事阿,1,neutral,0.5004248023033142,positive,0.8963515162467957
63, 害怕  害怕 ,1,negative,0.8969545960426331,negative,0.9053649306297302
64,這球竟然直接打到頭 第一次看到,1,,,negative,0.9997583031654358
65,看起來超痛,1,negative,0.9223035573959352,negative,0.999726951122284
66,蠻常看到打到頭的 但這顆是正中眼睛,1,,,positive,0.99993634223938
67,怕是有戴隱形眼鏡,1,negative,0.6811208128929138,negative,0.9422918558120728
68,洪的磅數感覺也不輕,1,,,positive,0.7078373432159424
69,棒,1,positive,0.9507365226745604,positive,0.98658686876297
70,打到眼睛可能要檢查一下,1,,,negative,0.8147972226142883
71,哈 今天都爆頭日,1,,,positive,0.9731627106666564
72,out,1,,,positive,0.9691839814186096
73,照啦啦隊,1,positive,0.6524433493614197,positive,0.9956841468811036
74,澳,1,,,positive,0.5677012205123901
75,好眼力,1,positive,0.9715558886528016,positive,0.9998445510864258
76,終於,1,,,positive,0.8936852812767029
78,寶刀未老,1,,,positive,0.9998204112052916
79,9連勝嗎,1,positive,0.705531120300293,positive,0.9996663331985474
80,今天好早下班 3場都30,1,positive,0.6764807105064392,positive,0.8613876104354858
81,因為兼打大專盃所以太累嗎,1,negative,0.6905773282051086,positive,0.917226016521454
82,天冷 讓球迷提早下班,1,,,positive,0.6981672644615173
83,喔噢對誒,1,,,positive,0.9972583055496216
84,那你可以早點洗洗睡,1,,,positive,0.8982493877410889
85,逆風支持摩洛哥XD,1,positive,0.8339204788208008,positive,0.9795174598693848
86,快去買運彩,1,positive,0.7852578163146973,positive,0.9942240118980408
87,躺在被窩了 冷吱吱,1,negative,0.6402623057365417,negative,0.9933663010597228
88,我唯一感興趣的運動就只有排球 笑哭了 ,1,,,negative,0.999569833278656
89,中運彩還沒辦法住豪宅吧,1,,,negative,0.999226450920105
90,請問在那裡打,1,,,positive,0.6256133317947388
91,跨年,1,positive,0.6258136630058289,positive,0.9995670914649964
92,桃園市立綜合體育館,1,positive,0.59956955909729,positive,0.999922513961792
93,跨年在家看企排,1,positive,0.5794974565505981,positive,0.9998295307159424
94,我要去喝酒跨年,1,positive,0.5255460143089294,positive,0.8699846863746643
95,elbowcoughelbowcoughelbowcough,1,positive,0.5452705025672913,positive,0.9741835594177246
96,辛苦啦 明天見yougotthis,1,positive,0.6510362029075623,positive,0.9998787641525269
97,明天見,1,positive,0.5854145884513855,positive,0.9990485310554504
98,88,1,positive,0.5064260363578796,negative,0.9907804131507874
99,我高雄我驕傲,1,positive,0.96682870388031,positive,0.9992504715919496
100,地主隊,1,positive,0.5208261013031006,negative,0.9998674392700196
101,有點尷尬的出場節奏,1,negative,0.8384023904800415,negative,0.9988552331924438
102,的確,1,positive,0.5993169546127319,positive,0.9477554559707642
